job_card_no,warning_type,detail,created_at
2024/8/R/591,EQUIPMENT_ASSET,2.5KW Generator,2026-07-12 10:48:40
2024/8/R/598,EQUIPMENT_ASSET,Cola cart,2026-07-12 10:48:40
2024/8/R/603,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/605,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/8/R/607,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/612,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/614,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/615,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/616,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/617,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/618,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/619,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/621,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/622,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/623,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/9/R/626,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/9/R/627,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/628,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/630,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/632,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/645,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/648,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/9/R/653,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/654,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/655,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/656,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/657,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/658,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/659,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
2024/9/R/660,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
2024/9/R/660,EQUIPMENT_ASSET,water pump,2026-07-12 10:48:40
2024/9/R/669,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/674,EQUIPMENT_ASSET,Slasher,2026-07-12 10:48:40
2024/9/R/679,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/680,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/681,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/685,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/686,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/687,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/9/R/688,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/9/R/689,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/690,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/691,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/692,NONSTANDARD_SITE,H/o,2026-07-12 10:48:40
2024/9/R/693,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/698,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/699,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
2024/9/R/699-1,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/9/R/707,EQUIPMENT_ASSET,2.5KW Generator,2026-07-12 10:48:40
2024/10/R/708,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/710,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/711,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/712,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/713,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/716,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/10/R/722,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/723,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/724,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/10/R/725,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/725,EQUIPMENT_ASSET,Batching plant,2026-07-12 10:48:40
2024/10/R/726,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/727,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/736,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/10/R/737,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/10/R/738,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/10/R/739,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/740,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/740,EQUIPMENT_ASSET,bar cutter,2026-07-12 10:48:40
2024/10/R/741,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/742,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/743,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/744,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/745,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/746,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/747,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/10/R/748,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/752,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/755,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/762,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/763,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/768,EQUIPMENT_ASSET,Muthur Plant,2026-07-12 10:48:40
2024/10/R/769,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/773,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/10/R/773,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/10/R/774,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/776,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/777,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/779,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/781,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/785,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/801,DATE_INVERTED,opened 2024-10-25 > closed 2024-03-20,2026-07-12 10:48:40
2024/10/R/806,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/807,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/809,EQUIPMENT_ASSET,Rammer,2026-07-12 10:48:40
2024/10/R/811,NONSTANDARD_SITE,H/O,2026-07-12 10:48:40
2024/10/R/812,NONSTANDARD_SITE,Solution,2026-07-12 10:48:40
2024/10/R/812,EQUIPMENT_ASSET,concrete mixture,2026-07-12 10:48:40
2024/10/R/814,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/815,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/816,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/817,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/818,NONSTANDARD_SITE,cep-03,2026-07-12 10:48:40
2024/10/R/821,NONSTANDARD_SITE,ja-ela bridge,2026-07-12 10:48:40
