mrnNum,itemName,vehicleMachinery,reqQty,recQty,hasUnpriced,importStatus,errorMessage
166918,20A Mini Fuse,Work Shop Stores,20,20,0,imported,
166918,25A Mini Fuse,Work Shop Stores,20,15,0,imported,
166918,30A Mini Fuse,Work Shop Stores,20,20,0,imported,
166918,10A Mini Fuse,Work Shop Stores,20,13,0,imported,
140446,120Ah 12V New Battery,MG-10,2,0,0,imported,
167434,Diesel,LK-4058,4,4,1,imported,
165435,Turbo Cooler (Inter Cooler) Repair,48-8072,1,1,1,imported,
166914,Selastic,Work Shop Stores,6,6,0,imported,
166914,Grease Nipple,Work Shop Stores,40,45,0,imported,
166914,Sand Paper (400),Work Shop Stores,8,0,0,imported,
166914,Sand Paper (320),Work Shop Stores,8,0,0,imported,
166914,Break Oil (1000ml),Work Shop Stores,5,2,0,imported,
166914,Lead,Work Shop Stores,5,5,1,imported,
166914,Auto Wire,Work Shop Stores,60,30,1,imported,
166914,Cotton Waste,Work Shop Stores,10,10,1,imported,
166914,Sand Paper (150),Work Shop Stores,8,0,0,imported,
166914,Sand Paper (120),Work Shop Stores,8,0,0,imported,
140445,95Ah 12V New Battery,LK-4061,2,0,0,imported,
140444,150Ah New Battery,ZA-7925,2,0,0,imported,
140443,90Ah 12V New Battery,LD-08,2,0,0,imported,
141986,New Tube (700*16),PY-2408,4,0,0,imported,
141986,700*16 New Tyre,PY-2408,4,0,0,imported,
165434,Brush Holder,LK-5586,1,1,0,imported,
165434,Brush,LK-5586,4,4,0,imported,
165433,Door Side Mirror,LP-1574,1,0,0,imported,
165432,Universal Joint,48-8072,1,1,0,imported,
165430,Engine Head (Presure Check),41-1130,1,1,1,imported,
165409,"9""*9"" Packing",41-1130,1,1,1,imported,
165409,Presure Relief Valve (Over Flow Valve),41-1130,1,0,0,imported,
165409,Over Flow Hose,41-1130,3,3,0,imported,
165409,Sealing Ring (O Ring),41-1130,1,1,0,imported,
165409,Front Oil Seal,41-1130,1,1,1,imported,
165409,Front Cover (oil Seal),41-1130,1,1,0,imported,
165409,Reserve Tank,41-1130,1,1,1,imported,
165409,Water Pump,41-1130,1,1,0,imported,
166917,Safety Shoe (46),Machanical Forman Mr Upul Kumara (ECS-2117),1,1,1,imported,
166917,Over Roll (XL),Tinker RM Nawathilaka,2,1,1,imported,
166917,Safety Shoe (42),Tinker RM Nawathilaka (ECD 3023),1,1,1,imported,
166917,Over Roll Kit (L),Machanical Forman Dilip (ECS 2047),2,1,1,imported,
